Nº;Fecha_corte;Sede;Area;Sub_Area;PC_ID;PC_Inventario;PC_Nombre;PC_Marca;PC_Modelo;PC_Procesador;PC_Grafica;PC_RAM;PC_SSD;PC_HDD;PC_Licencia;Monitor_Inventario;Monitor_Serie;Teclado_Inventario;Teclado_Serie
115;21/07/2022;Casa de la Juv;SUB GERENCIA DE PARTICIPACIÓN VECINAL;SUB GERENCIA DE PARTICIPACIÓN VECINAL;QS00690109;001598;ADMINISTRADOR-S;LENOVO;QS320407EH;AMD E350;NO;4GB;NULL;500GB;NO;NULL;NULL;001595;20118700
116;21/07/2022;Palacio 1P;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;436QTI5GX4042275;000345;Coactiva-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;000344;0ASTHCNRA0;000343;QTMK1210420
117;21/07/2022;Palacio 1P;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;D11S004;000488;Recaudacion-01;Dell;OptiPlex 7060;Core i7-8700;NO;8GB;NULL;1TB;SI;000487;JF635D2;000489;882-0DW1-A03
118;21/07/2022;Palacio 1P;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;NULL;000088;SGRyEC-001;Halion;Generico;Core i5-9400F;SI;8GB;NULL;500TB;NO;000083;V8C9H9NB505081;000087;NULL
119;21/07/2022;Palacio 1P;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;436QTI5GX4042242;000459;DESKTOP-7GL53IV;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;000326;312NDW5Q935;NULL;QTMK1210339
120;21/07/2022;Palacio 1P;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;412QTI3GX1011208;NULL;SGRYEC-01;Quitech;GX 120;Core i3-10100;NO;8GB;250GB;1TB;Si;NULL;0ASTHCNRA00199;NULL;QTMK1210514
121;21/07/2022;Palacio 1P;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;412QTI3GX1011209;NULL;SGRYEC-02;Quitech;GX 120;Core i3-10100;NO;8 GB;250 GB;1 TB;Si;NULL;0ASTHCNRA00682;NULL;QTMK1210513
122;21/07/2022;Palacio 3P;SUB GERENCIA DE RECURSOS HUMANOS;SUB GERENCIA DE RECURSOS HUMANOS;436QTI5GX4042241;001043;RR-HH-2;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;001042;0ASTHCNRA00955;001046;QTMK1210463
123;21/07/2022;Palacio 3P;SUB GERENCIA DE RECURSOS HUMANOS;SUB GERENCIA DE RECURSOS HUMANOS;436QTI5GX4042249;001056;Personal-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;001057;0ASTHCNRA01089;001061;QTMK1210464
124;21/07/2022;Palacio 3P;SUB GERENCIA DE RECURSOS HUMANOS;SUB GERENCIA DE RECURSOS HUMANOS;436QTI5GX4042239;000958;RR-HH-03;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;000957;0ASTHCNRA00928;000956;QTMK1210350
125;21/07/2022;Palacio 3P;SUB GERENCIA DE RECURSOS HUMANOS;SUB GERENCIA DE RECURSOS HUMANOS;436QTI5GX4042252;000953;RR-HH-04;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;000952;0ASTHCNRA01394;000954;QTMK1210365
126;21/07/2022;Palacio 3P;SUB GERENCIA DE RECURSOS HUMANOS;SUB GERENCIA DE RECURSOS HUMANOS;NULL;000947;SGRH-RSANTOS;Avatec;Generico;Core i5-3470;NO;4GB;NULL;500GB;NO;000929;ETW3C01686SL0;000948;NULL
127;21/07/2022;Casa de la Juv;SUB GERENCIA DE SALUD Y SANIDAD;SUB GERENCIA DE SALUD Y SANIDAD;436QTI5GX4042247;001894;SGS-02;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;001896;0ASTHCNRA00953;001895;QTMK1210459
128;21/07/2022;Casa de la Juv;SUB GERENCIA DE SALUD Y SANIDAD;SUB GERENCIA DE SALUD Y SANIDAD;NULL;001526;SGS-01;HALION;Generico;Core i5-9400F;GFORCE 210 1GB;4GB;240GB;NULL;NO;001540;L27B5CA000823;001541;0065814920846
129;21/07/2022;Casa de la Juv;SUB GERENCIA DE SALUD Y SANIDAD;SUB GERENCIA DE SALUD Y SANIDAD;1000000000;001887;SGS-04;DELL;OPTIPLEX 7060 SFF;Core i3-8100;NO;12GB;240GB;NULL;NO;001885;ADVAN15V0901447;001886;0065815927964
130;21/07/2022;Casa de la Juv;SUB GERENCIA DE SALUD Y SANIDAD;SUB GERENCIA DE SALUD Y SANIDAD;436QTI5GX4042227;001600;SGS-03;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;001601;0ASTHCNRA00919;002205;QTMK1210469
131;21/07/2022;Casa de la Juv;SUB GERENCIA DE SEGURIDAD CIUDADANA;SUB GERENCIA DE SEGURIDAD CIUDADANA ;412QTI3GX1011212;NULL;SGSC-03;Quitech;GX 120;Core i3-10100;NO;8 GB;250 GB;1 TB;NULL;NULL;0ASTHCNRA00745;NULL;QTMK1210523
132;21/07/2022;Casa de la Juv;SUB GERENCIA DE SEGURIDAD CIUDADANA;SUB GERENCIA DE SEGURIDAD CIUDADANA ;436QTI5GX4042218;000778;SGSC-02;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;000776;0ASTHCNRA01387;000777;QTMK1210424
133;21/07/2022;Palacio 1P;SUB GERENCIA DE SEGURIDAD CIUDADANA;CÁMARAS;436QTI5GX4042216;NULL;Cámaras-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;NULL;0ASTHCNRA01430;NULL;QTMK1210455
134;21/07/2022;Palacio 3P;SUB GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN Y SISTEMAS;SUB GERENCIA DE TECNOLOGIA DE LA INFORMACION Y SISTEMAS;436QTI5GX4042243;00580;SGTI-4;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;00579;0ASTHCNRA01335;00578;QTMK1210341
135;21/07/2022;Palacio 3P;SUB GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN Y SISTEMAS;SUB GERENCIA DE TECNOLOGIA DE LA INFORMACION Y SISTEMAS;436QTI5GX4042212;00871;SGTI-3;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;00870;0ASTHCNRA01374;00872;QTMK1210467
136;21/07/2022;Palacio 3P;SUB GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN Y SISTEMAS;SUB GERENCIA DE TECNOLOGIA DE LA INFORMACION Y SISTEMAS;436QTI5GX4042226;00880;SGTI-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;000879;0ASTHCNRA01437;00571;QTMK1210340
137;21/07/2022;Palacio 3P;SUB GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN Y SISTEMAS;SUB GERENCIA DE TECNOLOGIA DE LA INFORMACION Y SISTEMAS;436QTI5GX4042263;00582;SGTI-2;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;000581;0ASTHCNRA01392;NULL;QTMK1210423
138;21/07/2022;Palacio 1P;SUB GERENCIA DE TESORERÍA;SUB GERENCIA DE TESORERÍA;436QTI5GX4042223;000267;Tesoreria-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;000264;0ASTHCNRA01553;NULL;QTMK1210349
139;21/07/2022;Palacio 1P;SUB GERENCIA DE TESORERÍA;SUB GERENCIA DE TESORERÍA;436QTI5GX4042213;000272;Tesoreria-2;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;000272;0ASTHCNRA01622;NULL;QTMK1210347
140;21/07/2022;Palacio 1P;SUB GERENCIA DE TESORERÍA;SUB GERENCIA DE TESORERÍA;436QTI5GX4042222;000285;Tesoreria-3;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;000283;0ASTHCNRA00210;NULL;QTMK1210371
141;21/07/2022;Palacio 1P;SUB GERENCIA DE TESORERÍA;SUB GERENCIA DE TESORERÍA;436QTI5GX4042210;000276;Tesoreria-4;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;'000275;0ASTHCNRA01471;NULL;QTMK1210458
142;21/07/2022;Palacio 1P;SUB GERENCIA DE TESORERÍA;SUB GERENCIA DE TESORERÍA;07421956;000262;Tesoreria-5;Lenovo;ThinkCentre;Core i5-7500;NO;8GB;NULL;1TB;SI;000258;ZZQYH4TJC01450Z;000260;NULL
143;21/07/2022;Palacio 1P;SUB GERENCIA DE TESORERÍA;SUB GERENCIA DE TESORERÍA;NULL;000253;Tesoreria-6;Halion;Generico;Core i3-8100;NO;8GB;NULL;500GB;NO;000251;ZZQYH4TJC01588Y;000252;NULL
144;21/07/2022;Casa de la Juv;SUB GERENCIA DE TRANSPORTE;SUB GERENCIA DE TRANSPORTE;436QTI5GX4042236;001494;NULL;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;001493;0ASTHCNRA01382;001497;QTMK1210362
145;21/07/2022;Casa de la Juv;SUB GERENCIA DE TRANSPORTE;SUB GERENCIA DE TRANSPORTE;D13S003;001483;JPEREZ;DELL;VOSTRO 3470;Core i5-8400;NO;4GB;NULL;1TB;SI;001481;CN-0FTGC7-FCC00-61-C4WU-A00;001482;CN-0F2JV2-71616-75J-01PE-A03
146;21/07/2022;Casa de la Juv;SUB GERENCIA DE TRANSPORTE;SUB GERENCIA DE TRANSPORTE;436QTI5GX4042237;001479;DESKTOP-079D2B6;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;001477;0ASTHCNRA01356;001480;QTMK1210361
